student_id,date,dt_type,score
4MR_001,2026-07-01,현행,78
4MR_001,2026-07-01,선행,73
4MR_001,2026-07-02,현행,81
4MR_001,2026-07-02,선행,77
4MR_001,2026-07-03,현행,84
4MR_001,2026-07-03,선행,79
4MR_001,2026-07-04,현행,87
4MR_001,2026-07-04,선행,83
4MR_001,2026-07-05,현행,83
4MR_001,2026-07-05,선행,80
4MR_001,2026-07-06,현행,81
4MR_001,2026-07-06,선행,78
4MR_001,2026-07-07,현행,78
4MR_001,2026-07-07,선행,75
4MR_001,2026-07-08,현행,77
4MR_001,2026-07-08,선행,73
4MR_001,2026-07-09,현행,79
4MR_001,2026-07-09,선행,76
4MR_001,2026-07-10,현행,79
4MR_001,2026-07-10,선행,75
4MR_001,2026-07-11,현행,80
4MR_001,2026-07-11,선행,76
4MR_001,2026-07-12,현행,84
4MR_001,2026-07-12,선행,81
4MR_001,2026-07-13,현행,84
4MR_001,2026-07-13,선행,80
4MR_001,2026-07-14,현행,83
4MR_001,2026-07-14,선행,80
4MR_001,2026-07-15,현행,81
4MR_001,2026-07-15,선행,76
4MR_001,2026-07-16,현행,81
4MR_001,2026-07-16,선행,76
4MR_001,2026-07-17,현행,78
4MR_001,2026-07-17,선행,75
4MR_001,2026-07-18,현행,76
4MR_001,2026-07-18,선행,72
4MR_001,2026-07-19,현행,80
4MR_001,2026-07-19,선행,75
4MR_001,2026-07-20,현행,78
4MR_001,2026-07-20,선행,73
4MR_001,2026-07-21,현행,77
4MR_001,2026-07-21,선행,74
4MR_001,2026-07-22,현행,77
4MR_001,2026-07-22,선행,74
4MR_001,2026-07-23,현행,79
4MR_001,2026-07-23,선행,75
4MR_001,2026-07-24,현행,77
4MR_001,2026-07-24,선행,73
4MR_001,2026-07-25,현행,78
4MR_001,2026-07-25,선행,73
4MR_001,2026-07-26,현행,81
4MR_001,2026-07-26,선행,76
4MR_001,2026-07-27,현행,77
4MR_001,2026-07-27,선행,74
4MR_001,2026-07-28,현행,80
4MR_001,2026-07-28,선행,77
4MR_001,2026-07-29,현행,81
4MR_001,2026-07-29,선행,78
4MR_001,2026-07-30,현행,81
4MR_001,2026-07-30,선행,77
4MR_002,2026-07-01,현행,82
4MR_002,2026-07-01,선행,76
4MR_002,2026-07-02,현행,86
4MR_002,2026-07-02,선행,80
4MR_002,2026-07-03,현행,92
4MR_002,2026-07-03,선행,88
4MR_002,2026-07-04,현행,98
4MR_002,2026-07-04,선행,94
4MR_002,2026-07-05,현행,93
4MR_002,2026-07-05,선행,88
4MR_002,2026-07-06,현행,92
4MR_002,2026-07-06,선행,88
4MR_002,2026-07-07,현행,88
4MR_002,2026-07-07,선행,82
4MR_002,2026-07-08,현행,83
4MR_002,2026-07-08,선행,78
4MR_002,2026-07-09,현행,84
4MR_002,2026-07-09,선행,78
4MR_002,2026-07-10,현행,80
